Open;High;Low;Close;Volume;NextClose
143.420;143.570;143.270;143.340;5234;143.370
143.340;143.420;142.800;143.370;8366;143.330
143.370;143.710;143.300;143.330;8456;142.940
143.320;143.350;142.860;142.940;8488;142.740
142.940;142.960;142.650;142.740;4838;142.930
142.730;142.950;142.680;142.930;5988;142.930
142.940;142.990;142.870;142.930;4710;143.070
142.930;143.300;142.900;143.070;10671;142.810
143.080;143.150;142.690;142.810;10845;142.700
142.810;142.850;142.180;142.700;10127;142.540
142.700;142.720;142.370;142.540;4168;142.530
142.530;142.740;142.480;142.530;2898;142.530
142.520;142.600;142.430;142.530;4113;142.550
142.540;142.670;142.340;142.550;8597;142.760
142.550;143.010;142.480;142.760;9518;143.470
142.770;143.650;142.770;143.470;10123;143.290
143.480;143.540;143.230;143.290;3792;143.510
143.270;143.550;143.270;143.510;3554;143.580
143.520;143.580;143.320;143.580;3403;144.050
143.580;144.160;143.480;144.050;7042;143.650
144.050;144.160;143.600;143.650;6870;143.530
143.640;143.770;143.530;143.530;3616;143.940
143.710;143.950;143.540;143.940;4284;143.880
143.940;143.950;143.740;143.880;4070;143.930
143.880;143.980;143.740;143.930;6543;143.930
143.930;144.120;143.930;143.930;6261;143.900
143.940;143.990;143.820;143.900;4930;143.710
143.890;143.890;143.710;143.710;2979;143.580
143.710;143.780;143.550;143.580;4433;143.800
143.580;143.850;143.530;143.800;4343;144.160
143.800;144.350;143.800;144.160;9474;144.250
144.160;144.560;144.120;144.250;9037;143.590
144.250;144.280;143.310;143.590;9562;143.500
143.590;143.590;143.360;143.500;4134;143.110
143.500;143.560;143.060;143.110;5508;143.380
143.100;143.450;143.070;143.380;5222;143.560
143.390;143.590;143.350;143.560;7900;142.970
143.560;143.580;142.890;142.970;10449;143.350
142.970;143.560;142.720;143.350;9575;143.350
143.360;143.420;143.250;143.350;3336;143.680
143.360;143.710;143.360;143.680;4097;144.390
143.680;144.390;143.630;144.390;4916;144.040
144.380;144.380;143.910;144.040;8392;143.690
144.030;144.190;143.640;143.690;9259;143.310
143.680;143.680;143.060;143.310;7439;142.950
143.240;143.330;142.570;142.950;7838;142.940
142.940;143.080;142.720;142.940;5752;143.750
142.950;143.990;142.690;143.750;11890;144.230
143.750;144.490;143.750;144.230;11614;144.120
144.240;144.540;144.030;144.120;10249;144.120
144.120;144.260;144.030;144.120;5114;144.140
144.110;144.380;144.060;144.140;6405;144.750
144.140;144.750;144.120;144.750;7842;144.180
144.760;144.830;144.050;144.180;12040;144.040
144.170;144.530;143.870;144.040;11739;143.620
144.030;144.320;143.460;143.620;11323;143.610
143.620;143.720;143.490;143.610;4655;143.560
143.610;143.690;143.340;143.560;7245;143.100
143.560;143.620;142.900;143.100;5993;143.740
143.100;143.810;142.830;143.740;11740;143.530
143.750;143.780;143.360;143.530;10313;143.960
143.530;144.150;143.520;143.960;10716;143.990
143.960;144.320;143.920;143.990;6956;144.020
143.990;144.440;143.930;144.020;6887;143.670
144.030;144.150;143.580;143.670;6989;143.500
143.670;143.980;143.390;143.500;10922;143.180
143.490;143.500;142.990;143.180;12223;143.080
143.170;143.320;143.040;143.080;9776;143.040
143.080;143.260;143.040;143.040;5553;143.080
143.040;143.260;143.010;143.080;6133;143.100
143.080;143.170;142.870;143.100;5637;143.030
143.110;143.340;142.970;143.030;8454;143.550
143.020;144.140;142.640;143.550;13645;144.230
143.550;144.380;143.010;144.230;12558;144.080
144.230;144.240;144.030;144.080;4492;145.080
144.110;145.080;144.110;145.080;8328;144.880
145.080;145.310;144.880;144.880;7653;145.250
144.880;145.340;144.790;145.250;10752;145.130
145.250;145.440;144.950;145.130;10491;145.290
145.130;145.540;145.010;145.290;11116;145.130
145.290;145.410;145.010;145.130;4948;144.890
145.130;145.170;144.540;144.890;7827;144.990
144.880;145.100;144.710;144.990;5810;145.030
144.990;145.190;144.680;145.030;11209;145.060
145.040;145.130;144.620;145.060;13331;144.970
145.070;145.440;144.830;144.970;11635;144.930
144.970;144.970;144.820;144.930;4656;144.740
144.920;144.920;144.560;144.740;6371;145.020
144.730;145.030;144.650;145.020;5770;145.140
145.020;145.200;144.630;145.140;11224;145.500
145.150;145.780;145.130;145.500;13148;145.050
145.510;145.520;144.730;145.050;13548;144.990
145.030;145.140;144.960;144.990;5192;145.440
144.990;145.460;144.980;145.440;6078;145.410
145.450;145.540;145.280;145.410;5590;145.050
145.400;145.530;144.950;145.050;10318;144.720
145.040;145.180;144.640;144.720;13240;145.100
144.720;145.190;144.480;145.100;12502;144.980
145.100;145.130;144.920;144.980;4558;144.260
144.970;145.090;144.090;144.260;7814;144.260
144.260;144.430;144.060;144.260;7522;143.850
144.260;144.260;143.830;143.850;11574;143.850
143.850;143.970;143.590;143.850;12432;143.760
143.850;143.860;143.560;143.760;10733;143.840
143.750;143.900;143.360;143.840;5192;143.550
143.480;143.740;143.350;143.550;6795;143.840
143.550;143.920;143.530;143.840;7014;143.780
143.850;143.890;143.650;143.780;8602;143.860
